dec ra err type kind energy time
-53.37287 115.6949 0 null gamma_ray 111.593 1498091568.0859
-25.59075 60.48812 0 null gamma_ray 212.7949 1498091568.1672
-47.31314 91.991 0 null gamma_ray 690.7985 1498091568.2951
-49.84495 94.32681 0 null gamma_ray 227.4541 1498091568.7413
-46.4644 85.39611 0 null gamma_ray 485.4372 1498091569.0936
-56.74261 117.7048 0 null gamma_ray 139.4194 1498091569.2064
-51.83833 137.4673 0 null gamma_ray 7308.055 1498091569.2606
-50.40242 108.6981 0 null gamma_ray 286.836 1498091569.3491
-20.09818 58.77677 0 null gamma_ray 120.4687 1498091569.6941
-39.94043 272.2822 0 null gamma_ray 1284.911 1498091569.7499
-54.05387 100.7141 0 null gamma_ray 149.6199 1498091569.9779
-48.53683 158.2552 0 null gamma_ray 303.4004 1498091570.0853
-46.84497 82.05476 0 null gamma_ray 310.1988 1498091570.6397
-44.92754 88.33265 0 null gamma_ray 151.9176 1498091571.274
-23.016 63.70526 0 null gamma_ray 461.4784 1498091571.4623
-43.76084 77.85408 0 null gamma_ray 275.2775 1498091571.4714
-51.04408 116.6441 0 null gamma_ray 85.75475 1498091571.5228
-31.24267 70.68539 0 null gamma_ray 103.9178 1498091571.5979
-36.44082 62.94056 0 null gamma_ray 118.4554 1498091571.6312
-77.97019 98.35529 0 null gamma_ray 209.8792 1498091571.7136
-48.054 147.8135 0 null gamma_ray 893.6972 1498091571.8248
-59.44442 163.9213 0 null gamma_ray 346.408 1498091571.9037
-53.89026 148.8635 0 null gamma_ray 219.5742 1498091571.9704
1.677791 295.5953 0 null gamma_ray 204.4 1498091572.2476
-60.24409 29.91253 0 null gamma_ray 21.76461 1498091572.2927
-41.80413 76.26482 0 null gamma_ray 517.5305 1498091572.3356
-47.02718 84.0861 0 null gamma_ray 242.8217 1498091572.4798
-63.32465 201.3022 0 null gamma_ray 289.3082 1498091572.6316
-42.78224 82.11063 0 null gamma_ray 48.74737 1498091572.7077
-50.67908 114.1121 0 null gamma_ray 134.8128 1498091572.7473
-21.91142 60.05778 0 null gamma_ray 4295.787 1498091573.0189
-30.36162 70.20135 0 null gamma_ray 650.0606 1498091573.129
-53.55257 112.5968 0 null gamma_ray 1124.661 1498091573.1503
-32.83226 262.4728 0 null gamma_ray 988.146 1498091573.2002
-13.17818 275.7568 0 null gamma_ray 552.692 1498091573.2784
-52.05617 115.0563 0 null gamma_ray 1020.473 1498091573.4888
-57.26563 95.93549 0 null gamma_ray 94.64642 1498091573.797
-55.65863 132.5872 0 null gamma_ray 65.5556 1498091573.9176
-30.41549 65.43436 0 null gamma_ray 1780.655 1498091574.483
-34.57407 82.52077 0 null gamma_ray 543.623 1498091574.5642
-72.14276 129.9664 0 null gamma_ray 78.40886 1498091574.7861
-44.39425 253.8813 0 null gamma_ray 5423.548 1498091574.7935
-46.44679 246.1866 0 null gamma_ray 46.93904 1498091575.2877
